time;t2m_C;d2m_C;tsn_C;sp_hPa;ws;wd;snowc;sd;rsn;sde_mm;tp_mm;e_mm;sro_mm;ro_mm;ssro_mm;smlt_mm;sf_mm;ssr_W;ssrd_W;str_W;strd_W;slhf_W;sshf_W
1950-01-01;-10.068502;-23.116177;-22.417297;744.31946;0.6255023;311.24277;100.0;0.15093364;162.84645;927.05505;0.000914347;0.006172806;0.0;0.13688207;0.13688207;0.0;4.0978193e-05;813.9978;3270.06;-1030.3223;4027.8809;4.806667;71.013336
1950-01-02;-10.547546;-14.566102;-19.647392;740.8689;0.75418377;240.42139;100.0;0.1561528;159.24672;979.5329;13.167555;0.0319127;0.0;0.1361072;0.1361072;0.0;13.16322;350.34332;1374.6455;216.235;5812.949;24.893333;33.657776
1950-01-03;-10.607586;-12.902244;-15.28545;741.2439;0.56864935;202.93806;100.0;0.16508651;153.77504;1074.3408;0.8807361;0.0192374;0.0;0.13533235;0.1353398;0.0;0.8768327;633.9028;2665.5444;-756.2033;4949.758;15.117778;-47.33889
1950-01-04;-9.084217;-11.188666;-13.512325;742.638;0.69354516;255.72905;100.0;0.17106469;153.79718;1109.4971;20.52945;0.020563602;0.0;0.13458729;0.13458729;0.0;20.523426;335.78445;1381.0688;253.30833;6387.508;16.118889;-24.68
1950-01-05;-5.7527976;-6.3995147;-8.033054;738.8345;1.144352;201.11345;100.0;0.2230221;149.97719;1476.7252;68.4647;0.03318861;0.0;0.13382733;0.13383478;0.0;68.39669;198.61667;863.74225;134.35056;6726.61;25.756666;-16.466667
1950-01-06;-11.532594;-13.391355;-8.857755;736.35236;1.6020609;244.15019;100.0;0.2641385;156.80077;1686.7269;5.6840477;-0.093651935;0.0;0.13306737;0.13308972;0.0;5.6777706;616.3417;2681.3032;-999.95667;5128.5557;-73.60778;-194.69221
1950-01-07;-12.394184;-17.347557;-14.961408;744.6976;0.7713687;209.57903;100.0;0.2655727;166.23924;1599.4059;0.07427037;-0.0053113326;0.0;0.13235211;0.13235211;0.0;0.07297471;769.68;3268.2122;-1345.7023;4172.1904;-4.1144443;-52.002224
1950-01-08;-11.345757;-15.85083;-17.320887;743.4983;0.7502876;79.77532;100.0;0.26590097;172.2132;1545.0846;0.912242;0.016919337;0.0;0.13162196;0.1316294;0.0;0.9092465;636.5906;2628.3079;-454.3872;5153.0513;13.332222;-16.827778
1950-01-09;-10.406372;-12.21565;-14.353507;739.4499;0.8261802;61.29762;100.0;0.2692698;175.24965;1536.4584;4.7417593;0.027080998;0.0;0.1309067;0.1309067;0.0;4.7365947;407.96555;1676.9288;-183.56778;5742.676;21.187778;-25.981112
1950-01-10;-8.876367;-10.908184;-13.226022;739.5118;0.824441;159.98122;100.0;0.2716323;180.64809;1504.9642;0.5944967;0.022623688;0.0;0.13019145;0.13019145;0.0;0.5884841;733.0061;2997.4421;-675.1556;5255.231;18.566668;-36.9
1950-01-11;-10.067578;-11.283202;-11.19526;737.7155;1.6182051;209.9397;100.0;0.2785832;182.80043;1520.3043;27.454079;-0.020348467;0.0;0.12947619;0.12947619;0.0;27.44378;463.07443;1868.7689;-72.44666;6156.6206;-15.675555;-131.08
1950-01-12;-9.778958;-10.917355;-9.576827;733.91064;1.7251183;200.9207;100.0;0.31825015;168.30824;1887.2885;29.047834;-0.022985041;0.0;0.12877584;0.12877584;0.0;29.043167;158.2589;686.51666;-65.19222;6240.9434;-17.995556;-74.09111
1950-01-13;-11.739726;-13.381469;-10.60274;734.6626;1.2735348;178.24974;100.0;0.3363451;170.71776;1969.1162;14.797119;-0.05010888;0.0;0.12809038;0.12809038;0.0;14.789798;330.36334;1425.6522;-302.08057;5812.771;-39.238888;-131.27222
1950-01-14;-16.80031;-18.923128;-14.042313;733.4245;1.3210822;146.7411;100.0;0.34702432;173.19984;2006.5918;1.1525333;-0.034295022;0.0;0.12740493;0.12739748;0.0;1.1452771;737.2761;3174.62;-1426.5594;4099.7505;-26.43;-179.97333
1950-01-15;-20.02757;-25.628326;-21.335173;737.51324;0.90542823;57.85907;100.0;0.34739605;179.8421;1933.1461;0.01475215;-0.020001084;0.0;0.12671947;0.12671202;0.0;0.014770776;864.06335;3618.96;-1538.7739;3379.1736;-14.985556;-108.636665
