threshold_C,tp,fp,fn,tn,precision,recall,specificity,balanced_accuracy,f1
-2.0,3587,40,486,4265,0.9889716018748277,0.8806776331942058,0.9907084785133565,0.9356930558537812,0.9316883116883117
-1.9,3621,41,452,4264,0.988803932277444,0.8890252884851461,0.9904761904761905,0.9397507394806683,0.9362637362637362
-1.7999999999999998,3659,48,414,4257,0.9870515241435123,0.8983550208691382,0.9888501742160278,0.943602597542583,0.9406169665809769
-1.6999999999999997,3691,58,382,4247,0.9845292077887436,0.9062116376135526,0.986527293844367,0.9463694657289599,0.943748401943237
-1.5999999999999996,3720,64,353,4241,0.9830866807610994,0.9133316965381783,0.9851335656213704,0.9492326310797743,0.94692630775105
-1.4999999999999996,3745,74,328,4231,0.980623199790521,0.919469678369752,0.9828106852497096,0.9511401818097308,0.9490623416117586
-1.3999999999999995,3776,91,297,4214,0.9764675459012154,0.9270807758409035,0.9788617886178862,0.9529712822293949,0.951133501259446
-1.2999999999999994,3801,98,272,4207,0.9748653500897666,0.9332187576724773,0.9772357723577236,0.9552272650151005,0.9535875564475665
-1.1999999999999993,3823,116,250,4189,0.9705509012439706,0.9386201816842622,0.973054587688734,0.955837384686498,0.9543185222166749
-1.0999999999999992,3859,131,214,4174,0.9671679197994988,0.9474588755217285,0.9695702671312427,0.9585145713264855,0.9572119558476994
-0.9999999999999991,3881,142,192,4163,0.9647029579915486,0.9528602995335134,0.9670150987224158,0.9599376991279646,0.9587450592885375
-0.899999999999999,3900,158,173,4147,0.9610645638245441,0.9575251657255095,0.9632984901277584,0.9604118279266339,0.9592916000491944
-0.7999999999999989,3924,173,149,4132,0.9577739809616793,0.9634176282838203,0.9598141695702671,0.9616158989270437,0.9605875152998775
-0.6999999999999988,3945,190,128,4115,0.9540507859733979,0.9685735330223423,0.9558652729384437,0.962219402980393,0.9612573099415205
-0.5999999999999988,3964,219,109,4086,0.947645230695673,0.9732383992143383,0.9491289198606272,0.9611836595374827,0.9602713178294574
-0.49999999999999867,3980,239,93,4066,0.9433515050959943,0.9771667075865456,0.9444831591173054,0.9608249333519254,0.9599614085865894
