horizon_days,target,target_col,feature_group,rank,feature,MI_training,selected
1,snowc,snowc_h1,A_atmosphere_energy,1,sshf_W,0.7189083714002891,True
1,snowc,snowc_h1,A_atmosphere_energy,2,doy_cos,0.7105069621388376,True
1,snowc,snowc_h1,A_atmosphere_energy,3,doy_sin,0.6914269455262243,True
1,snowc,snowc_h1,A_atmosphere_energy,4,t2m_C,0.6243796690422911,True
1,snowc,snowc_h1,A_atmosphere_energy,5,e_mm,0.5296997284081897,True
1,snowc,snowc_h1,A_atmosphere_energy,6,slhf_W,0.5133788101505274,True
1,snowc,snowc_h1,A_atmosphere_energy,7,net_radiation_W,0.4955815872102214,True
1,snowc,snowc_h1,A_atmosphere_energy,8,d2m_C,0.24421165530424283,True
1,snowc,snowc_h1,A_atmosphere_energy,9,ssrd_W,0.20299393781159658,True
1,snowc,snowc_h1,A_atmosphere_energy,10,sp_hPa,0.19919690829451042,True
1,snowc,snowc_h1,A_atmosphere_energy,11,strd_W,0.18125121415714496,True
1,snowc,snowc_h1,A_atmosphere_energy,12,ws,0.1611693787339057,True
1,snowc,snowc_h1,A_atmosphere_energy,13,tp_mm,0.11121566381105108,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,1,snowc_lag0,1.2587783101066625,True
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,2,sd_lag0,1.109638640536331,True
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,3,snowc_lag1,1.083688789465877,True
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,4,sd_lag1,1.014793705177702,True
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,5,sd_lag3,0.8673351642816582,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,6,snowc_lag3,0.8651933556651645,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,7,sshf_W,0.718975467013232,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,8,doy_cos,0.7096880990796608,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,9,doy_sin,0.6904287110395835,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,10,sd_lag7,0.686368411604672,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,11,snowc_lag7,0.6829063538176676,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,12,t2m_C_lag7,0.6650141125909403,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,13,t2m_C_lag3,0.6461254640832284,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,14,t2m_C_lag1,0.6291646187876907,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,15,t2m_C,0.624411343237206,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,16,e_mm,0.5292814852705003,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,17,slhf_W,0.5130489635228539,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,18,net_radiation_W,0.496339235650856,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,19,sf_mm,0.3554893980519198,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,20,sf_mm_lag1,0.3445264426587835,False
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,21,smlt_mm_lag1,0.33939322862510046,False
