horizon_days,target,target_col,method,configuration,n_evaluated,RMSE,MAE,R2,NSE,KGE
1,snowc,snowc_h1,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,4.976384040977973,1.1366432029130005,0.9896247334424768,0.9896247334424768,0.9930416098974805
1,snowc,snowc_h1,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,4.891336726854283,1.344355238715165,0.9899763335022317,0.9899763335022317,0.9922826838707297
1,snowc,snowc_h1,Exponential smoothing,alpha=0.95,4018,5.404716120336694,0.9277740938259278,0.9877618080224074,0.9877618080224074,0.9938714336625052
1,snowc,snowc_h1,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,4.891031017757253,1.3379431242109538,0.9899775864236495,0.9899775864236495,0.9929785295836131
1,sd,sd_h1,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,0.0046960970090713676,0.0022408070843380145,0.9994703034358459,0.9994703034358459,0.9993968930000565
1,sd,sd_h1,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,0.004656231591096605,0.002252447318597038,0.9994792585085472,0.9994792585085472,0.9987096244611628
1,sd,sd_h1,Exponential smoothing,alpha=0.95,4018,0.008002295567122144,0.0034389059110246775,0.9984619083560946,0.9984619083560946,0.9992122518153456
1,sd,sd_h1,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,0.004757328243067472,0.0024560315877437343,0.9994564002207115,0.9994564002207115,0.9990209098169964
1,smlt_mm,smlt_mm_h1,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,1.3867372791620212,0.5125259283646049,0.924925801813682,0.924925801813682,0.9481015515780319
1,smlt_mm,smlt_mm_h1,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,1.3753214994994416,0.5531442607133448,0.9261567529551362,0.9261567529551362,0.9486960834254429
1,smlt_mm,smlt_mm_h1,Exponential smoothing,alpha=0.95,4018,1.4020069917123603,0.4495071035700979,0.9232633775313078,0.9232633775313078,0.9615117843895808
1,smlt_mm,smlt_mm_h1,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,1.3747013833116126,0.5576430603765379,0.9262233280351775,0.9262233280351775,0.9438203496982632
1,smlt_mm,smlt_mm_h1,"Degree-day, climatological target-date T","Tb=-5.0 C, DDF=0.86 mm/C/day, issue-day snow gate",4018,4.073546916045029,1.7377481437063138,0.35218982330132576,0.35218982330132576,0.37302026060249505
1,smlt_mm,smlt_mm_h1,"Degree-day, observed target-date T (oracle)","Tb=-5.0 C, DDF=0.88 mm/C/day, target-day snow gate",4018,3.92112624424633,1.8146147536067099,0.3997613299322048,0.3997613299322048,0.4946182196319614
7,snowc,snowc_h7,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,16.689600693910883,7.436795040453583,0.8833020093704651,0.8833020093704651,0.9081592711936309
7,snowc,snowc_h7,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,14.83940704869176,8.001108248044497,0.9077418840193308,0.9077418840193308,0.9203055683213373
7,snowc,snowc_h7,Exponential smoothing,alpha=0.95,4018,17.075501779711942,4.487893012642721,0.8778429783947771,0.8778429783947771,0.9389020738951661
7,snowc,snowc_h7,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,15.048899118548865,8.061631342616403,0.9051186298180257,0.9051186298180257,0.925980446208389
7,sd,sd_h7,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,0.028807171439615736,0.018761667698551008,0.9800678443022788,0.9800678443022788,0.9856005181788199
7,sd,sd_h7,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,0.027242869482605615,0.017099090642356155,0.9821738015918587,0.9821738015918587,0.9810257114643384
