horizon_days,target,method,RMSE,MAE,R2,NSE,KGE,family,configuration
1,snowc,CryoSENSE-HK,4.439030601986828,0.7338052190025838,0.9917444166982415,0.9917444166982415,0.9946096560088065,CryoSENSE-HK,Random Forest
1,snowc,Persistence (issue-day t),5.308060151058535,0.8926525784481633,0.9881956206618884,0.9881956206618884,0.9940978103309446,Minimal baseline,
1,snowc,Training target-DOY climatology,18.158031047967448,7.460911345652855,0.8618633261161475,0.8618633261161475,0.8711860352966729,Minimal baseline,
1,sd,CryoSENSE-HK,0.005002775291375087,0.002374651179385264,0.9993988608278713,0.9993988608278713,0.9970792212340034,CryoSENSE-HK,Random Forest
1,sd,Persistence (issue-day t),0.007690324479777995,0.0032774420758787857,0.9985794963125099,0.9985794963125099,0.9992730319135313,Minimal baseline,
1,sd,Training target-DOY climatology,0.12009409579275354,0.06595136754741661,0.6535852706023058,0.6535852706023058,0.6941536185948982,Minimal baseline,
1,smlt_mm,CryoSENSE-HK,1.1050713828579852,0.3695051404251263,0.952325846981566,0.952325846981566,0.9459621857188473,CryoSENSE-HK,Extra Trees
1,smlt_mm,Persistence (issue-day t),1.4023706328892414,0.4468263210237682,0.9232235657262271,0.9232235657262271,0.9616117828631132,Minimal baseline,
1,smlt_mm,Training target-DOY climatology,3.8760381128147854,1.576429213316374,0.41348597896163497,0.41348597896163497,0.610036851327026,Minimal baseline,
7,snowc,CryoSENSE-HK,10.287511429116961,3.296991865327882,0.9556603615640074,0.9556603615640074,0.9597651084095876,CryoSENSE-HK,Extra Trees
7,snowc,Persistence (issue-day t),17.049553799560755,4.469070244303793,0.8782139566124677,0.8782139566124677,0.9391069783062339,Minimal baseline,
7,snowc,Training target-DOY climatology,18.158030254728526,7.460934299328838,0.8618633381852295,0.8618633381852295,0.8711861258682168,Minimal baseline,
7,sd,CryoSENSE-HK,0.02379011651596806,0.013265856998217708,0.9864060341486355,0.9864060341486355,0.9780188671329108,CryoSENSE-HK,Extra Trees
7,sd,Persistence (issue-day t),0.04346077768133106,0.02160637453174842,0.9546321683194282,0.9546321683194282,0.9773078219763212,Minimal baseline,
7,sd,Training target-DOY climatology,0.12008767406205957,0.06594501278766234,0.6536223169301699,0.6536223169301699,0.6943000245654739,Minimal baseline,
7,smlt_mm,CryoSENSE-HK,2.0304901800662267,0.7514983011468281,0.8390451350240767,0.8390451350240767,0.7866666047332568,CryoSENSE-HK,XGBoost
7,smlt_mm,Persistence (issue-day t),3.5524783483752302,1.1804378504978266,0.5073196962949029,0.5073196962949029,0.7536598481474514,Minimal baseline,
7,smlt_mm,Training target-DOY climatology,3.876038059339964,1.5764306591969912,0.4134859951450325,0.4134859951450325,0.6100363506942341,Minimal baseline,
15,snowc,CryoSENSE-HK,12.314860038455782,4.4444134561490225,0.9364624526110268,0.9364624526110268,0.9414480467195321,CryoSENSE-HK,Extra Trees
15,snowc,Persistence (issue-day t),26.210344820567627,8.585954183025713,0.7121826600927372,0.7121826600927372,0.8560913300463691,Minimal baseline,
15,snowc,Training target-DOY climatology,18.158029864974914,7.460956221704907,0.861863344115307,0.861863344115307,0.8711861923390163,Minimal baseline,
15,sd,CryoSENSE-HK,0.03834697338929296,0.021577921880039295,0.9646804452033377,0.9646804452033377,0.9506633972624063,CryoSENSE-HK,Extra Trees
15,sd,Persistence (issue-day t),0.08492663627548393,0.0445500946438334,0.82676290886902,0.82676290886902,0.913376035312202,Minimal baseline,
15,sd,Training target-DOY climatology,0.12007909942374215,0.06593001436678768,0.6536717800801695,0.6536717800801695,0.6945447887976786,Minimal baseline,
15,smlt_mm,CryoSENSE-HK,2.2412274990620933,0.7942005224083204,0.8039015296261889,0.8039015296261889,0.7301009481751017,CryoSENSE-HK,Extra Trees
15,smlt_mm,Persistence (issue-day t),4.905150172943242,1.7738127399867318,0.060694344669416034,0.060694344669416034,0.5303471723347079,Minimal baseline,
15,smlt_mm,Training target-DOY climatology,3.876038061575095,1.5764321035861326,0.41348599446860157,0.41348599446860157,0.6100359431791764,Minimal baseline,
30,snowc,CryoSENSE-HK,12.892803091319015,5.073852554629923,0.9303588096663171,0.9303588096663171,0.9260219889411777,CryoSENSE-HK,Extra Trees
30,snowc,Persistence (issue-day t),38.240479912886904,16.487155498157342,0.38734193642274983,0.38734193642274983,0.6937661543010969,Minimal baseline,
30,snowc,Training target-DOY climatology,18.1580298659658,7.460958952216045,0.8618633441002307,0.8618633441002307,0.8711861989090532,Minimal baseline,
30,sd,CryoSENSE-HK,0.061243669039281017,0.033662762206491954,0.9099102382734571,0.9099102382734571,0.9052978732450527,CryoSENSE-HK,XGBoost
30,sd,Persistence (issue-day t),0.15138469602435967,0.08572397964212762,0.4495511322459731,0.4495511322459731,0.7247510356162459,Minimal baseline,
30,sd,Training target-DOY climatology,0.1200604052452885,0.06589877777850542,0.653779605965098,0.653779605965098,0.695164652742424,Minimal baseline,
30,smlt_mm,CryoSENSE-HK,2.636796804483949,0.977342813439055,0.7285713738343147,0.7285713738343147,0.7804798217128364,CryoSENSE-HK,XGBoost
30,smlt_mm,Persistence (issue-day t),6.726761413230974,2.7929096913760514,-0.766502960715814,-0.766502960715814,0.11679723677508769,Minimal baseline,
