horizon_days,target,method,iid_R2_ci_width,block_R2_ci_width,inflation
1,snowc,CryoSENSE-HK (Random Forest),0.005610760640083923,0.005763313642830226,1.0271893621083115
1,snowc,Persistence (issue-day t),0.008141750534752079,0.008661351710411602,1.0638193436953967
1,snowc,Training target-DOY climatology,0.030582398357364537,0.03959936263467012,1.2948416331492265
1,sd,CryoSENSE-HK (Random Forest),0.00014909618166647487,0.00017380064865912814,1.1656948334727757
1,sd,Persistence (issue-day t),0.0002859310350298294,0.0003888326218882687,1.359882538975541
1,sd,Training target-DOY climatology,0.057419976401006045,0.08301376619103984,1.4457297162801581
1,smlt_mm,CryoSENSE-HK (Extra Trees),0.015624782262765091,0.016982618674117766,1.086902741332178
1,smlt_mm,Persistence (issue-day t),0.02307433346669352,0.02793228199630904,1.210534728408415
1,smlt_mm,Training target-DOY climatology,0.11665809701567392,0.1750574003349304,1.5006022283340528
7,snowc,CryoSENSE-HK (Extra Trees),0.012805849304042272,0.027806331323413813,2.171377365391651
7,snowc,Persistence (issue-day t),0.03838481779508096,0.07624463013470129,1.9863225752884017
7,snowc,Training target-DOY climatology,0.027616130534104166,0.07143038082047481,2.586545596323237
7,sd,CryoSENSE-HK (Extra Trees),0.002183958035227085,0.0055449717298204915,2.538955254808242
7,sd,Persistence (issue-day t),0.008222415382379,0.02483003465362643,3.0197981370338325
7,sd,Training target-DOY climatology,0.057167768237156746,0.18759929382823537,3.2815570663873386
7,smlt_mm,CryoSENSE-HK (XGBoost),0.037691046719828813,0.06978344979773454,1.851459587112562
7,smlt_mm,Persistence (issue-day t),0.15049778937273262,0.30449160978275186,2.0232297833201267
7,smlt_mm,Training target-DOY climatology,0.13379529031360343,0.2670834975290715,1.9962100078639031
15,snowc,CryoSENSE-HK (Extra Trees),0.015922677969934962,0.04497773636959401,2.8247595319405767
15,snowc,Persistence (issue-day t),0.05978264747160822,0.17272031896203843,2.8891380068784374
15,snowc,Training target-DOY climatology,0.029717364812240188,0.08726960590152955,2.9366535846268693
15,sd,CryoSENSE-HK (Extra Trees),0.00585686908160854,0.02128596443090669,3.6343589269816285
15,sd,Persistence (issue-day t),0.0335923477483383,0.1386345708658383,4.126968793739523
15,sd,Training target-DOY climatology,0.062244054865523646,0.24491901479568512,3.9348177962509845
15,smlt_mm,CryoSENSE-HK (Extra Trees),0.047521249447809444,0.10782116033926215,2.2689041553437588
15,smlt_mm,Persistence (issue-day t),0.2617686620237128,0.6770002556385992,2.586254024468643
15,smlt_mm,Training target-DOY climatology,0.11199199260757853,0.35747617152705224,3.1919797407271218
30,snowc,CryoSENSE-HK (Extra Trees),0.015856998337967276,0.04050914539993544,2.554654073649121
30,snowc,Persistence (issue-day t),0.09481558559452363,0.26401071183847946,2.7844653406193616
30,snowc,Training target-DOY climatology,0.029263812285853175,0.09153232209451723,3.1278331476574612
30,sd,CryoSENSE-HK (XGBoost),0.017778576805439594,0.07145936436445421,4.019408591951537
30,sd,Persistence (issue-day t),0.10780718735624151,0.48289928754780803,4.479286579957793
30,sd,Training target-DOY climatology,0.062251712049592456,0.295109491761156,4.740584347721373
30,smlt_mm,CryoSENSE-HK (XGBoost),0.07184551068520917,0.17035135048202377,2.3710785664593237
30,smlt_mm,Persistence (issue-day t),0.3555802606241749,1.0463559147497914,2.942671544570696
30,smlt_mm,Training target-DOY climatology,0.1284262302092154,0.3608917411830891,2.8101092790403563
