variable,max_abs_difference,rms_difference,correlation
t2m_C,0.3893232187500004,0.005886734445947231,0.9999998210172726
snowc,0.003981188964843341,2.405596144147584e-05,0.9999999999998899
sd,0.00047842118644714215,3.0883929311994168e-06,0.999999999909959
smlt_mm,0.3443541750488279,0.00763546700400473,0.9999990338147955
sde_mm,16.29272832031245,0.09833353195221083,0.999999991489504
ssrd_W,6.82779947283052e-05,1.0380317980561831e-05,0.9999999999999931
sshf_W,1.4838887725830077,0.13618775938689423,0.99999404189778
tp_mm,7.792011309082028,0.41717035313366796,0.998850626048793
sf_mm,7.074900197753905,0.35966431075541816,0.9988894237373296
ws,1.5127608922698974,0.5580458099004034,0.6274554992494858
