target,cell,top_k,shared_with_study_cell,ws_rank,top_feature
snowc,0,12,11,30,doy_cos
snowc,1,12,11,30,doy_cos
snowc,2,12,11,32,doy_cos
snowc,3,12,11,34,doy_cos
snowc,4,12,11,34,doy_cos
snowc,5,12,11,26,doy_cos
snowc,6,12,11,34,doy_cos
snowc,7,12,11,34,doy_cos
snowc,8,12,11,34,doy_cos
snowc,9,12,11,34,doy_cos
snowc,10,12,11,34,doy_sin
snowc,11,12,11,27,doy_cos
snowc,12,12,11,26,doy_cos
snowc,13,12,11,26,doy_cos
snowc,14,12,11,26,doy_sin
snowc,15,12,12,26,doy_sin
snowc,16,12,11,29,doy_cos
snowc,17,12,11,29,doy_cos
snowc,18,12,11,33,doy_cos
snowc,19,12,12,34,doy_sin
snowc,20,12,12,34,doy_sin
snowc,21,12,11,34,doy_sin
snowc,22,12,11,34,doy_cos
snowc,23,12,11,34,doy_cos
snowc,24,12,11,34,doy_cos
snowc,25,12,11,34,doy_cos
snowc,26,12,12,34,doy_sin
snowc,27,12,11,34,doy_sin
snowc,28,12,11,33,doy_sin
snowc,29,12,11,34,doy_sin
snowc,30,12,10,34,doy_sin
snowc,31,12,10,34,doy_sin
snowc,32,12,11,34,doy_sin
snowc,33,12,11,34,doy_sin
snowc,34,12,12,34,doy_cos
snowc,35,12,11,34,doy_sin
snowc,36,12,11,34,doy_sin
snowc,37,12,11,34,doy_cos
snowc,38,12,11,34,doy_cos
snowc,39,12,10,34,doy_sin
snowc,40,12,11,34,doy_sin
snowc,41,12,11,34,doy_sin
snowc,42,12,12,34,doy_sin
snowc,43,12,12,34,doy_sin
snowc,44,12,12,34,doy_sin
snowc,45,12,12,34,doy_sin
snowc,46,12,12,34,doy_sin
snowc,47,12,11,34,doy_sin
snowc,48,12,11,34,doy_sin
snowc,49,12,11,34,doy_sin
snowc,50,12,11,34,doy_cos
snowc,51,12,11,34,doy_sin
snowc,52,12,11,34,doy_sin
snowc,53,12,11,34,doy_sin
snowc,54,12,11,34,doy_sin
snowc,55,12,12,34,doy_sin
snowc,56,12,12,34,doy_sin
snowc,57,12,11,34,doy_sin
snowc,58,12,11,34,doy_sin
snowc,59,12,11,34,doy_sin
snowc,60,12,11,34,doy_cos
snowc,61,12,11,34,doy_sin
snowc,62,12,11,34,doy_cos
snowc,63,12,11,34,doy_sin
snowc,64,12,10,34,doy_sin
snowc,65,12,10,34,doy_sin
snowc,66,12,10,34,doy_sin
snowc,67,12,11,34,doy_sin
snowc,68,12,11,34,doy_sin
snowc,69,12,11,34,doy_sin
snowc,70,12,11,34,doy_sin
snowc,71,12,11,34,doy_cos
snowc,72,12,11,34,doy_cos
snowc,73,12,11,34,doy_sin
snowc,74,12,11,34,doy_cos
snowc,75,12,11,34,doy_sin
snowc,76,12,11,34,doy_cos
snowc,77,12,11,34,doy_sin
snowc,78,12,11,34,doy_sin
snowc,79,12,11,34,doy_sin
snowc,80,12,11,34,doy_cos
snowc,81,12,11,34,doy_cos
sd,0,12,10,30,doy_cos
sd,1,12,10,30,doy_cos
sd,2,12,10,30,doy_cos
sd,3,12,10,34,doy_cos
sd,4,12,11,34,doy_cos
sd,5,12,10,28,doy_cos
sd,6,12,11,34,sd_lag0
sd,7,12,11,34,sd_lag0
sd,8,12,11,34,sd_lag0
sd,9,12,11,34,sd_lag0
sd,10,12,11,34,sd_lag0
sd,11,12,11,29,sd_lag0
sd,12,12,11,29,sd_lag0
sd,13,12,11,29,sd_lag0
sd,14,12,12,29,sd_lag0
sd,15,12,11,30,sd_lag0
sd,16,12,11,30,sd_lag0
sd,17,12,11,30,sd_lag0
sd,18,12,11,34,sd_lag0
sd,19,12,11,34,sd_lag0
sd,20,12,12,34,sd_lag0
sd,21,12,11,34,sd_lag0
sd,22,12,11,34,sd_lag0
sd,23,12,11,34,sd_lag0
sd,24,12,11,34,sd_lag0
sd,25,12,10,34,sd_lag0
sd,26,12,11,33,sd_lag0
sd,27,12,11,33,sd_lag0
sd,28,12,11,33,sd_lag0
sd,29,12,11,34,sd_lag0
sd,30,12,11,34,sd_lag0
sd,31,12,11,34,sd_lag0
sd,32,12,11,34,sd_lag0
sd,33,12,11,34,sd_lag0
sd,34,12,11,34,sd_lag0
sd,35,12,11,34,sd_lag0
sd,36,12,11,34,sd_lag0
sd,37,12,11,34,sd_lag0
sd,38,12,11,34,sd_lag0
sd,39,12,11,34,sd_lag0
sd,40,12,11,34,sd_lag0
sd,41,12,11,34,sd_lag0
