horizon_days,target,algorithm,settings,is_published,valid_RMSE,test_R2,test_RMSE
1,snowc,Random Forest,"n_estimators=60, max_depth=8, min_samples_leaf=1",False,4.367705795513077,0.9920625344941917,4.352664391174576
1,snowc,Random Forest,"n_estimators=60, max_depth=8, min_samples_leaf=2",False,4.302620271479428,0.9922757947056793,4.293793567053568
1,snowc,Random Forest,"n_estimators=60, max_depth=8, min_samples_leaf=5",False,4.318160894354116,0.9922241985076508,4.308110553621225
1,snowc,Random Forest,"n_estimators=60, max_depth=12, min_samples_leaf=1",False,4.35353990852357,0.9921506601552174,4.3284342351108185
1,snowc,Random Forest,"n_estimators=60, max_depth=12, min_samples_leaf=2",False,4.240540823595318,0.9922028399535009,4.314023250377175
1,snowc,Random Forest,"n_estimators=60, max_depth=12, min_samples_leaf=5",False,4.312192974039221,0.9922920271076855,4.289279494923173
1,snowc,Random Forest,"n_estimators=60, max_depth=18, min_samples_leaf=1",False,4.390950030029746,0.9919718890918802,4.377447426082176
1,snowc,Random Forest,"n_estimators=60, max_depth=18, min_samples_leaf=2",False,4.265750344151469,0.9921928459376393,4.316787116316632
1,snowc,Random Forest,"n_estimators=60, max_depth=18, min_samples_leaf=5",False,4.3199919041814825,0.9923202380138599,4.281422994637011
1,snowc,Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=1",False,4.364744220910206,0.992107364834449,4.340355189384648
1,snowc,Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=2",False,4.308697425529222,0.9922231697644334,4.308395527005578
1,snowc,Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=5",False,4.338108449834316,0.9922737164776412,4.294371159291046
1,snowc,Random Forest,"n_estimators=100, max_depth=12, min_samples_leaf=1",False,4.388215938366244,0.9920520437913931,4.355539832381688
1,snowc,Random Forest,"n_estimators=100, max_depth=12, min_samples_leaf=2",True,4.280727971991815,0.9921913169946744,4.3172097926293835
1,snowc,Random Forest,"n_estimators=100, max_depth=12, min_samples_leaf=5",False,4.333898828363464,0.9923342797789426,4.277507102346506
1,snowc,Random Forest,"n_estimators=100, max_depth=18, min_samples_leaf=1",False,4.380527050724805,0.9919989289391697,4.370069267786354
1,snowc,Random Forest,"n_estimators=100, max_depth=18, min_samples_leaf=2",False,4.275585511414579,0.992167088542727,4.323902233530491
1,snowc,Random Forest,"n_estimators=100, max_depth=18, min_samples_leaf=5",False,4.3199415429405645,0.9923415339680824,4.275482687865371
1,snowc,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=1",False,4.361144896331849,0.99220731216439,4.312785877478942
1,snowc,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=2",False,4.294134027378102,0.9923271266446668,4.2795023778857875
1,snowc,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",False,4.318749891942457,0.9923191542962069,4.281725067149999
1,snowc,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=1",False,4.344257346416587,0.9921146938611273,4.338339514867149
1,snowc,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=2",False,4.262522270581833,0.9922560191109908,4.299286562068738
1,snowc,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=5",False,4.3182559317801426,0.9923683019073314,4.26800429476615
1,snowc,Random Forest,"n_estimators=200, max_depth=18, min_samples_leaf=1",False,4.349653610029128,0.9920817995348482,4.347379001338678
1,snowc,Random Forest,"n_estimators=200, max_depth=18, min_samples_leaf=2",False,4.239607645546863,0.9922783104423493,4.293094276109981
1,snowc,Random Forest,"n_estimators=200, max_depth=18, min_samples_leaf=5",False,4.293921465623604,0.992388403742135,4.262379643055747
1,sd,Random Forest,"n_estimators=60, max_depth=8, min_samples_leaf=1",False,0.005815992359125939,0.999303723609037,0.005384114864522402
1,sd,Random Forest,"n_estimators=60, max_depth=8, min_samples_leaf=2",False,0.005866857888495562,0.9993065114454764,0.005373325265224899
1,sd,Random Forest,"n_estimators=60, max_depth=8, min_samples_leaf=5",False,0.005866643200803767,0.9993104933944675,0.00535787648139609
1,sd,Random Forest,"n_estimators=60, max_depth=12, min_samples_leaf=1",False,0.005593146643804021,0.9993675540941296,0.005131391784309226
1,sd,Random Forest,"n_estimators=60, max_depth=12, min_samples_leaf=2",False,0.005540154408964598,0.9993888896930936,0.005044095332046733
1,sd,Random Forest,"n_estimators=60, max_depth=12, min_samples_leaf=5",False,0.005527991276995819,0.9993913852090034,0.0050337858208642635
1,sd,Random Forest,"n_estimators=60, max_depth=18, min_samples_leaf=1",False,0.005628074806295325,0.9993610590250173,0.005157673566665556
1,sd,Random Forest,"n_estimators=60, max_depth=18, min_samples_leaf=2",False,0.0055723305282525505,0.999378342681623,0.005087436565399179
1,sd,Random Forest,"n_estimators=60, max_depth=18, min_samples_leaf=5",False,0.005518251988995138,0.9993860485777462,0.005055806997433551
1,sd,Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=1",False,0.005810390236340975,0.999311344662955,0.005354568028658015
1,sd,Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=2",False,0.005830815901325352,0.999314747074475,0.005341324101320632
1,sd,Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=5",False,0.005820254524159949,0.9993112216983357,0.005355046056631258
1,sd,Random Forest,"n_estimators=100, max_depth=12, min_samples_leaf=1",False,0.005577985976849689,0.9993733841223005,0.005107685866178265
1,sd,Random Forest,"n_estimators=100, max_depth=12, min_samples_leaf=2",True,0.005525402281199158,0.9993914503497143,0.0050335164278374495
1,sd,Random Forest,"n_estimators=100, max_depth=12, min_samples_leaf=5",False,0.005508866274934798,0.999392808352617,0.005027897044425609
1,sd,Random Forest,"n_estimators=100, max_depth=18, min_samples_leaf=1",False,0.005606001781808001,0.9993670451073037,0.005133456218210749
1,sd,Random Forest,"n_estimators=100, max_depth=18, min_samples_leaf=2",False,0.0055689553969561845,0.999383046617236,0.005068152294595661
1,sd,Random Forest,"n_estimators=100, max_depth=18, min_samples_leaf=5",False,0.005490660833983458,0.9993897071816589,0.005040720433815176
1,sd,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=1",False,0.005809859758018793,0.9993092355887163,0.005362761204168974
1,sd,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=2",False,0.00582673039984045,0.9993143346329274,0.005342931283509882
1,sd,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",False,0.00581566946555791,0.99931408656882,0.005343897694887625
1,sd,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=1",False,0.005573044454001976,0.999377728110608,0.005089950666500319
1,sd,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=2",False,0.005507036836337997,0.9993898067204178,0.005040309346300215
1,sd,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=5",False,0.005491843177910605,0.9993932791643578,0.00502594737003166
