horizon_days,target,n_neighbors,top_k,shared_with_published,rank_correlation_with_default,test_R2
1,snowc,3,4,4,1.0,0.9921913169946744
1,snowc,5,4,4,0.9987776928953398,0.9921913169946744
1,snowc,7,4,4,0.9981665393430098,0.992314844077775
1,snowc,10,4,4,0.998472116119175,0.992314844077775
1,snowc,15,4,4,0.9969442322383497,0.992314844077775
1,sd,3,12,12,1.0,0.9993914503497143
1,sd,5,12,12,0.9987776928953398,0.9993899062773572
1,sd,7,12,12,0.9960275019098548,0.9993859806777957
1,sd,10,12,12,0.9841100076394194,0.9993859806777957
1,sd,15,12,12,0.9828877005347594,0.9993903017095059
1,smlt_mm,3,12,12,1.0,0.9511612406860982
1,smlt_mm,5,12,12,0.9938884644766998,0.9512787875147923
1,smlt_mm,7,12,12,0.9938884644766998,0.9512119222794788
1,smlt_mm,10,12,12,0.9914438502673798,0.9513879617266402
1,smlt_mm,15,12,12,0.9859434682964094,0.9510633712171247
7,snowc,3,6,6,1.0,0.95614855190345
7,snowc,5,6,5,0.9993888464476698,0.9534965731226317
7,snowc,7,6,5,0.999083269671505,0.9534965731226317
7,snowc,10,6,5,0.998472116119175,0.9534965731226317
7,snowc,15,6,5,0.9941940412528646,0.9536716554025184
7,sd,3,10,10,1.0,0.9861600612225043
7,sd,5,10,10,0.999083269671505,0.9857572667806297
7,sd,7,10,10,0.9978609625668448,0.9857572667806297
7,sd,10,10,10,0.9978609625668448,0.9861600612225043
7,sd,15,10,10,0.9981665393430098,0.9857726741268872
7,smlt_mm,3,6,6,1.0,0.8299809971211497
7,smlt_mm,5,6,6,0.9914438502673798,0.8327341449871821
7,smlt_mm,7,6,6,0.9920550038197096,0.8276370902619488
7,smlt_mm,10,6,5,0.9828877005347594,0.6175927320755077
7,smlt_mm,15,6,5,0.977387318563789,0.6175927320755077
15,snowc,3,8,8,1.0,0.9385116687458007
15,snowc,5,8,8,0.999694423223835,0.9385116687458007
15,snowc,7,8,7,0.9987776928953398,0.898621107317623
15,snowc,10,8,7,0.9987776928953398,0.8986575512099005
15,snowc,15,8,7,0.9975553857906798,0.8986575512099005
15,sd,3,12,12,1.0,0.9636158136716408
15,sd,5,12,12,0.9987776928953398,0.9636024230490177
15,sd,7,12,12,0.9975553857906798,0.9636024230490177
15,sd,10,12,12,0.9978609625668448,0.9638285213850983
15,sd,15,12,12,0.9978609625668448,0.9638285213850983
15,smlt_mm,3,10,10,1.0,0.7927945208692131
15,smlt_mm,5,10,10,0.9972498090145148,0.7932760016860363
15,smlt_mm,7,10,10,0.9975553857906798,0.7908764001516422
15,smlt_mm,10,10,10,0.9911382734912146,0.7909039151377669
15,smlt_mm,15,10,9,0.977998472116119,0.7936213260589065
30,snowc,3,12,12,1.0,0.9316539470910121
30,snowc,5,12,12,1.0,0.9316539470910121
30,snowc,7,12,12,0.9993888464476698,0.9316539470910121
30,snowc,10,12,12,0.9987776928953398,0.9316539470910121
30,snowc,15,12,12,0.9978609625668448,0.9316539470910121
30,sd,3,12,12,1.0,0.9063244428479672
30,sd,5,12,12,0.998472116119175,0.9063244428479672
30,sd,7,12,12,0.9978609625668448,0.9063244428479672
30,sd,10,12,12,0.9972498090145148,0.9063816489586253
30,sd,15,12,12,0.9957219251336898,0.9048213761273078
30,smlt_mm,3,6,6,1.0,0.7305560575756165
30,smlt_mm,5,6,6,0.9954163483575248,0.7301528458842943
30,smlt_mm,7,6,6,0.996638655462185,0.7301528458842943
30,smlt_mm,10,6,6,0.9938884644766998,0.7293385158982406
30,smlt_mm,15,6,6,0.9951107715813597,0.7281468836332403
