target,horizon_days,configurations,test_R2_min,test_R2_median,test_R2_max,test_R2_published,test_R2_best_on_validation,published_minus_best
sd,1,27,0.999303723609037,0.999373711976554,0.9993932791643578,0.9993914503497143,0.999391343848531,1.0650118331678726e-07
sd,7,27,0.9842836329988482,0.9851672304048665,0.9861600612225043,0.9861600612225043,0.9861600612225043,0.0
sd,15,27,0.9607352950025323,0.9634036358743161,0.9645298458636223,0.9636158136716408,0.9641772560460651,-0.0005614423744242369
sd,30,27,0.8990295846467897,0.9063244428479672,0.9106059375565595,0.9063244428479672,0.9070068564777622,-0.0006824136297950423
smlt_mm,1,27,0.9436526506809414,0.9501592534139887,0.9523023006148682,0.9511612406860982,0.9513808331289857,-0.00021959244288749513
smlt_mm,7,27,0.7967874298186262,0.8265907687460223,0.8322450056895767,0.8299809971211497,0.8299809971211497,0.0
smlt_mm,15,27,0.7778709925420566,0.7916184363981214,0.7987388417896213,0.7927945208692131,0.7874022217321677,0.00539229913704542
smlt_mm,30,27,0.6910767691710341,0.7158327446297217,0.7314580602382044,0.7305560575756165,0.7139659469860111,0.016590110589605356
snowc,1,27,0.9919718890918802,0.9922231697644334,0.992388403742135,0.9921913169946744,0.9922783104423493,-8.699344767482131e-05
snowc,7,27,0.9509176216687387,0.95614855190345,0.9572875562853718,0.95614855190345,0.955440000034442,0.0007085518690080894
snowc,15,27,0.932617808377346,0.9375992139639482,0.9397462072282465,0.9385116687458006,0.9368648115544954,0.0016468571913051955
snowc,30,27,0.9248670500885592,0.9301732088558309,0.9318089739848865,0.9316539470910121,0.9318089739848865,-0.00015502689387436597
