event,horizon_days,model,n_test,base_rate,average_precision,skill_over_base_rate
High snowmelt day,1,CryoSENSE-HK (Random Forest),4018,0.09059233449477352,0.973658098885478,0.8830657643907045
High snowmelt day,1,Issue-day persistence,4018,0.09059233449477352,0.8256486712162134,0.7350563367214399
High snowmelt day,1,Target-DOY climatology baseline,4018,0.09059233449477352,0.6112447165216561,0.5206523820268826
High snowmelt day,7,CryoSENSE-HK (Random Forest),4018,0.09059233449477352,0.9151267645346134,0.8245344300398398
High snowmelt day,7,Issue-day persistence,4018,0.09059233449477352,0.5107270610654422,0.42013472657066864
High snowmelt day,7,Target-DOY climatology baseline,4018,0.09059233449477352,0.6112447165216561,0.5206523820268826
High snowmelt day,15,CryoSENSE-HK (Random Forest),4018,0.09059233449477352,0.8934530588651604,0.8028607243703868
High snowmelt day,15,Issue-day persistence,4018,0.09059233449477352,0.3236915021456699,0.23309916765089636
High snowmelt day,15,Target-DOY climatology baseline,4018,0.09059233449477352,0.610880634075022,0.5202882995802485
High snowmelt day,30,CryoSENSE-HK (XGBoost),4018,0.09059233449477352,0.8518264220130799,0.7612340875183063
High snowmelt day,30,Issue-day persistence,4018,0.09059233449477352,0.10935277199348495,0.018760437498711424
High snowmelt day,30,Target-DOY climatology baseline,4018,0.09059233449477352,0.6111797942808673,0.5205874597860938
Snow-covered day,1,CryoSENSE-HK (Random Forest),4018,0.4609258337481334,0.9998228093118289,0.5388969755636954
Snow-covered day,1,Issue-day persistence,4018,0.4609258337481334,0.9876000959972999,0.5266742622491665
Snow-covered day,1,Target-DOY climatology baseline,4018,0.4609258337481334,0.9900243133994134,0.5290984796512801
Snow-covered day,7,CryoSENSE-HK (Extra Trees),4018,0.4609258337481334,0.9984677593647564,0.537541925616623
Snow-covered day,7,Issue-day persistence,4018,0.4609258337481334,0.9361679326546812,0.47524209890654784
Snow-covered day,7,Target-DOY climatology baseline,4018,0.4609258337481334,0.9900243133994134,0.5290984796512801
Snow-covered day,15,CryoSENSE-HK (Extra Trees),4018,0.4609258337481334,0.9971341593173966,0.5362083255692631
Snow-covered day,15,Issue-day persistence,4018,0.4609258337481334,0.8700824719644794,0.409156638216346
Snow-covered day,15,Target-DOY climatology baseline,4018,0.4609258337481334,0.9900243133994134,0.5290984796512801
Snow-covered day,30,CryoSENSE-HK (XGBoost),4018,0.4609258337481334,0.9936961233047231,0.5327702895565898
Snow-covered day,30,Issue-day persistence,4018,0.4609258337481334,0.7575090826313242,0.2965832488831908
Snow-covered day,30,Target-DOY climatology baseline,4018,0.4609258337481334,0.9900243133994134,0.5290984796512801
