target,horizon_days,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,NSE_mean,NSE_std,KGE_mean,KGE_std,runtime_seconds_mean,runtime_seconds_std
sd,1,0.0059,0.0011,0.0028,0.0006,0.9993,0.0002,0.9993,0.0002,0.9976,0.0007,0.2722,0.1356
sd,7,0.0258,0.0019,0.0145,0.001,0.987,0.0018,0.987,0.0018,0.9871,0.0078,0.1196,0.0435
sd,15,0.04,0.0019,0.0225,0.0011,0.9684,0.0052,0.9684,0.0052,0.9709,0.0139,0.1386,0.0627
sd,30,0.0598,0.003,0.0337,0.0009,0.9287,0.0151,0.9287,0.0151,0.9427,0.0235,0.088,0.0057
smlt_mm,1,1.2371,0.1236,0.4135,0.0512,0.9485,0.0037,0.9485,0.0037,0.9518,0.01,0.1203,0.0508
smlt_mm,7,2.0896,0.118,0.7751,0.059,0.8524,0.0105,0.8524,0.0105,0.8572,0.0558,0.0762,0.0088
smlt_mm,15,2.247,0.0662,0.8177,0.0513,0.8288,0.0168,0.8288,0.0168,0.8404,0.0708,0.1357,0.0665
smlt_mm,30,2.6738,0.138,1.0092,0.0606,0.7585,0.0178,0.7585,0.0178,0.8189,0.0294,0.0733,0.0073
snowc,1,4.1953,0.3972,0.7015,0.1033,0.9926,0.0014,0.9926,0.0014,0.995,0.0004,0.1973,0.0988
snowc,7,12.4566,0.6516,3.5152,0.3967,0.9351,0.0069,0.9351,0.0069,0.9557,0.0036,0.0756,0.0276
snowc,15,15.074,0.9586,5.1537,0.9123,0.9049,0.0128,0.9049,0.0128,0.9281,0.01,0.0985,0.0414
snowc,30,15.4403,0.677,5.515,0.2682,0.9004,0.0089,0.9004,0.0089,0.9219,0.0031,0.1332,0.0554
