horizon_days,target,fold,fold_algorithm,published_algorithm,matches_published,inner_RMSE_XGBoost,inner_RMSE_Random Forest,inner_RMSE_Extra Trees,fold_test_R2_published,fold_test_R2_fold_choice,fold_test_R2_gain
1,snowc,1,XGBoost,Random Forest,False,2.9898142338001783,3.054399926435346,3.1230263515007035,0.99222603834975,0.9916401526483348,-0.0005858857014151564
1,snowc,2,Random Forest,Random Forest,True,4.4287089126654875,4.21865936912773,4.2612820046451825,0.9945769313999907,0.9945769313999907,0.0
1,snowc,3,XGBoost,Random Forest,False,3.249074817606739,3.3142702777767963,3.2995976766549027,0.9912906869249262,0.990901838213391,-0.00038884871153521683
1,snowc,4,Extra Trees,Random Forest,False,4.463622065619263,4.48503775161649,4.2534775051489735,0.9923075087307401,0.9921680547441032,-0.0001394539866369504
1,sd,1,Random Forest,Random Forest,True,0.007485070867871525,0.006907630269230071,0.0070820148939991605,0.9990939763981588,0.9990939763981588,0.0
1,sd,2,Extra Trees,Random Forest,False,0.006006962822042609,0.005829309823374626,0.005659606034340043,0.9994743508807375,0.9994739112794369,-4.3960130069464753e-07
1,sd,3,Random Forest,Random Forest,True,0.008107464415255948,0.006013476132197669,0.006089466196665391,0.9993348496516316,0.9993348496516316,0.0
1,sd,4,Random Forest,Random Forest,True,0.005812510314558293,0.005299580050639432,0.0053725228903524005,0.9993620812468567,0.9993620812468567,0.0
1,smlt_mm,1,Extra Trees,Extra Trees,True,1.452087053047399,1.3933401279824846,1.364231336296378,0.9438242719263773,0.9438242719263773,0.0
1,smlt_mm,2,Extra Trees,Extra Trees,True,1.3365301456377388,1.3704119236008396,1.329300551150358,0.9472969801570429,0.9472969801570429,0.0
1,smlt_mm,3,Random Forest,Extra Trees,False,1.30121399827855,1.290235622507394,1.2930515813107635,0.9508728428049844,0.950852733545939,-2.010925904538663e-05
1,smlt_mm,4,Random Forest,Extra Trees,False,1.2025536581053409,1.1816976153978818,1.1848718796553106,0.9521184486121339,0.9536273872888592,0.0015089386767253021
7,snowc,1,Extra Trees,Extra Trees,True,15.867895396018426,16.134203344561445,15.348659178943656,0.9352867228595503,0.9352867228595503,0.0
7,snowc,2,XGBoost,Extra Trees,False,12.010193599359065,12.237911305378548,12.263369282810933,0.9351728602428584,0.9380647097894534,0.002891849546595049
7,snowc,3,Random Forest,Extra Trees,False,11.913282886139488,11.887602526010985,12.0112538655627,0.9265311999943021,0.9233550294609782,-0.0031761705333238632
7,snowc,4,Extra Trees,Extra Trees,True,13.285051976049173,13.462793200600414,13.024104885635445,0.9435228909827345,0.9435228909827345,0.0
7,sd,1,XGBoost,Extra Trees,False,0.03189842204278852,0.034383682546764445,0.03207991042683357,0.9865984103113216,0.9876743029253917,0.0010758926140701508
7,sd,2,XGBoost,Extra Trees,False,0.024920312518030476,0.027674647835767157,0.026787675212440167,0.9894412762008489,0.9899546338754647,0.0005133576746157997
7,sd,3,XGBoost,Extra Trees,False,0.026465121558233967,0.027592899972169103,0.027001057107445967,0.9864552933794912,0.9863812347971628,-7.40585823284512e-05
7,sd,4,Extra Trees,Extra Trees,True,0.023886110077310483,0.024198054730594238,0.0232880478984637,0.9853242109185749,0.9853242109185749,0.0
7,smlt_mm,1,Random Forest,XGBoost,False,3.1639176103886375,2.9791402835088054,3.0313085419545995,0.8456779272876458,0.8436193532440914,-0.002058574043554362
7,smlt_mm,2,Extra Trees,XGBoost,False,2.2061917933977506,2.2200932771658284,2.110303750715429,0.866034390946992,0.8676394149685804,0.0016050240215884637
7,smlt_mm,3,Extra Trees,XGBoost,False,2.016232874449898,1.9944537603872143,1.9907102297172918,0.850849360214424,0.851509004326613,0.0006596441121889951
7,smlt_mm,4,XGBoost,XGBoost,True,2.021796649480879,2.0646787664259056,2.0247401638448936,0.839652021377776,0.839652021377776,0.0
15,snowc,1,Random Forest,Extra Trees,False,18.418117317794994,18.116134358850285,18.477525318020703,0.9157470251177593,0.9140423281359342,-0.0017046969818250712
15,snowc,2,Extra Trees,Extra Trees,True,14.6950888135471,15.04447084197785,14.293037007404775,0.914023714143234,0.914023714143234,0.0
15,snowc,3,Extra Trees,Extra Trees,True,14.01895647545085,14.221102004896597,13.926743510125691,0.9014361147757199,0.9014361147757199,0.0
15,snowc,4,Extra Trees,Extra Trees,True,15.081007644110779,15.632121996388378,14.806097997059872,0.888314207674954,0.888314207674954,0.0
15,sd,1,Extra Trees,Extra Trees,True,0.05101415855096319,0.051809243597575695,0.04893285191904891,0.9691114617786838,0.9691114617786838,0.0
15,sd,2,XGBoost,Extra Trees,False,0.03760910630064251,0.040595023019336936,0.03846477721748801,0.9755235195809785,0.9772377156483095,0.0017141960673310308
15,sd,3,XGBoost,Extra Trees,False,0.04011180015758588,0.0408760372042941,0.04056677911481777,0.9647507992895027,0.9636833700692253,-0.0010674292202773605
15,sd,4,Extra Trees,Extra Trees,True,0.038375033982661864,0.039435186381761154,0.037995511777785665,0.9641693242567302,0.9641693242567302,0.0
15,smlt_mm,1,Extra Trees,Extra Trees,True,2.9612465951896705,2.9917988849770505,2.6263947438336923,0.8399833122789451,0.8399833122789451,0.0
15,smlt_mm,2,Extra Trees,Extra Trees,True,2.16824105461924,2.163167538453109,2.142468871949371,0.8460176432468609,0.8460176432468609,0.0
15,smlt_mm,3,Random Forest,Extra Trees,False,2.229078590461965,2.1068111650342294,2.109529901241776,0.8181595840055895,0.8160153534248601,-0.0021442305807294337
15,smlt_mm,4,XGBoost,Extra Trees,False,2.1360994791210297,2.18388306707388,2.1623618358745786,0.8111093027562056,0.8053409645599037,-0.005768338196301959
30,snowc,1,Extra Trees,Extra Trees,True,16.059115664063153,16.102894019808243,15.718294895083407,0.9064830302951277,0.9064830302951277,0.0
30,snowc,2,Extra Trees,Extra Trees,True,15.010783473525604,15.037283828485828,14.078823947140107,0.8958842724992434,0.8958842724992434,0.0
30,snowc,3,XGBoost,Extra Trees,False,15.780487948338093,16.027321358251722,15.82250188173313,0.8902218804334125,0.887910143422418,-0.002311737010994519
30,snowc,4,Extra Trees,Extra Trees,True,15.84790616912835,15.786252138930735,15.685962042839972,0.9090910432656649,0.9090910432656649,0.0
30,sd,1,Extra Trees,XGBoost,False,0.07951396691068445,0.08261390882740169,0.07319278867601592,0.9316511476685694,0.9351730608956295,0.0035219132270600806
30,sd,2,Extra Trees,XGBoost,False,0.051864075347946716,0.05225466999558206,0.050354232340959454,0.9489761705746214,0.9479164067871478,-0.0010597637874735222
30,sd,3,Extra Trees,XGBoost,False,0.06052908049947394,0.06275314085497237,0.0604592904008936,0.9246155024909746,0.9231632693034393,-0.00145223318753529
30,sd,4,XGBoost,XGBoost,True,0.054961771931254746,0.057793854264398745,0.05586739299925639,0.9101829999844969,0.9101829999844969,0.0
30,smlt_mm,1,Extra Trees,XGBoost,False,3.6216531243347383,3.412664312134703,3.31689505481154,0.7528375912014023,0.7572244789946524,0.004386887793250138
30,smlt_mm,2,Extra Trees,XGBoost,False,2.7815878685941833,2.759133562805941,2.653766597618501,0.7630582051652873,0.7701281340575653,0.007069928892277977
30,smlt_mm,3,Extra Trees,XGBoost,False,2.50094782672346,2.613224196963204,2.4777339994390757,0.7742478278730891,0.7748574790977565,0.0006096512246673846
30,smlt_mm,4,Extra Trees,XGBoost,False,2.4286983807826235,2.417686058870285,2.3853652702040713,0.7285372239687631,0.7190153516535467,-0.009521872315216395
