target,horizon_days,published_algorithm,folds,folds_matching,distinct_winners,winners,agreement
sd,1,Random Forest,4,3,2,"Extra Trees, Random Forest",0.75
sd,7,Extra Trees,4,1,2,"Extra Trees, XGBoost",0.25
sd,15,Extra Trees,4,2,2,"Extra Trees, XGBoost",0.5
sd,30,XGBoost,4,1,2,"Extra Trees, XGBoost",0.25
smlt_mm,1,Extra Trees,4,2,2,"Extra Trees, Random Forest",0.5
smlt_mm,7,XGBoost,4,1,3,"Extra Trees, Random Forest, XGBoost",0.25
smlt_mm,15,Extra Trees,4,2,3,"Extra Trees, Random Forest, XGBoost",0.5
smlt_mm,30,XGBoost,4,0,1,Extra Trees,0.0
snowc,1,Random Forest,4,1,3,"Extra Trees, Random Forest, XGBoost",0.25
snowc,7,Extra Trees,4,2,3,"Extra Trees, Random Forest, XGBoost",0.5
snowc,15,Extra Trees,4,3,2,"Extra Trees, Random Forest",0.75
snowc,30,Extra Trees,4,3,2,"Extra Trees, XGBoost",0.75
