year,area_km2,n_images,source,ndsi_threshold,provenance,temperature_C,precipitation_mm,snowfall_mm,snow_cover_days,mean_snow_depth_m,snowmelt_mm,cpdd_C_days,forecast_horizon_days,cryosense_snowmelt_forecast_mm,snowmelt_observed_era5_mm,snowmelt_forecast_daily_R2
2000,2.33793,6,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,4.066382373754098,817.42485915459,599.0248938550566,171,0.12806156414375108,586.3638327470593,2446.05385612,7,554.5625,586.3638327470593,0.866086040114628
2001,2.657562,5,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,4.845432776739726,908.553817722136,547.742554417963,158,0.0869491851077331,441.2650075189706,2486.00400863,7,338.26807,441.2650075189706,0.7583150818253471
2002,3.265997,1,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,4.150517288021917,1033.4412977552,696.5507226598178,173,0.21919902346146294,873.8857112827607,2333.525187613,7,935.5519,873.8857112827608,0.9369180236627445
2003,2.118741,1,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,3.970351747780822,1337.6388933471,908.5549563462315,206,0.21165533643511317,928.4603053562851,2363.55068123,7,881.53577,928.4603053562851,0.8997348387173361
2004,2.633097,5,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,3.9930320011748637,928.85993900477,572.235210918314,185,0.18730695430226918,698.840700869777,2368.48323855,7,689.2764,698.8407008697769,0.7531583035116993
2005,2.477688,6,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,4.202685025287671,952.31787398304,666.4367713130296,179,0.14551256684133357,731.3821186162666,2364.35827769,7,644.1364,731.3821186162666,0.7633569455301389
2006,2.511771,6,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,4.448508750013699,1091.406456170765,696.802108167671,156,0.1755061105544486,814.824907039975,2503.04624758,7,686.34576,814.824907039975,0.8621162140498687
2007,2.248814,7,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,3.749262675780822,981.09369551285,695.919552330451,194,0.1473696003047264,688.2434280827847,2378.127480185,7,752.14703,688.2434280827847,0.8663718984601523
2008,1.9206,3,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,4.155126300659836,734.113462620632,520.2005261756645,155,0.11081579599371087,533.8925255906713,2517.76989684,7,418.96283,533.8925255906713,0.8377213319574054
2009,2.224905,5,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,3.690864839223014,997.95005468159,647.206912655484,194,0.156855340372746,721.242770411104,2170.6330949014,7,809.2158,721.2427704111041,0.8906677374169566
2010,2.799634,4,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,6.0578057216293155,902.35771791508,482.3976792993686,147,0.13022932715754085,607.5824287062471,2696.697501258,7,531.9411,607.582428706247,0.6711920970761831
2011,2.107327,5,Hakkari_Glacier_GEE.ipynb,0.2,executed_output_cell_14,3.350126282219178,1020.46854895528,680.4887726285716,199,0.14028311415723507,689.3129509358865,2292.39108574,7,742.8635,689.3129509358864,0.8538857858858144
