horizon_days,target,fold,fold_start,fold_end,feature,mean_abs_shap,rank
1,snowc,0,1950-01-08,1963-01-05,snowc_lag0,38.20275614203801,1
1,snowc,0,1950-01-08,1963-01-05,sd_lag0,10.380687733399453,2
1,snowc,0,1950-01-08,1963-01-05,sd_lag1,1.1071873256372564,3
1,snowc,0,1950-01-08,1963-01-05,snowc_lag1,0.788306453244611,4
1,snowc,1,1963-01-06,1976-01-04,snowc_lag0,38.448616398400006,1
1,snowc,1,1963-01-06,1976-01-04,sd_lag0,10.968856631949283,2
1,snowc,1,1963-01-06,1976-01-04,sd_lag1,1.2640357388543737,3
1,snowc,1,1963-01-06,1976-01-04,snowc_lag1,0.6052370851259278,4
1,snowc,2,1976-01-05,1989-01-01,snowc_lag0,38.245822114086515,1
1,snowc,2,1976-01-05,1989-01-01,sd_lag0,11.163076452731552,2
1,snowc,2,1976-01-05,1989-01-01,sd_lag1,1.1700642321726704,3
1,snowc,2,1976-01-05,1989-01-01,snowc_lag1,0.6105796185846387,4
1,snowc,3,1989-01-02,2001-12-31,snowc_lag0,38.317925393996035,1
1,snowc,3,1989-01-02,2001-12-31,sd_lag0,11.033840961804932,2
1,snowc,3,1989-01-02,2001-12-31,sd_lag1,1.1690887688488039,3
1,snowc,3,1989-01-02,2001-12-31,snowc_lag1,0.61552891606458,4
1,snowc,4,2002-01-01,2014-12-30,snowc_lag0,38.21816037348722,1
1,snowc,4,2002-01-01,2014-12-30,sd_lag0,10.866919157094785,2
1,snowc,4,2002-01-01,2014-12-30,sd_lag1,1.2806860185780593,3
1,snowc,4,2002-01-01,2014-12-30,snowc_lag1,0.4234201037994828,4
1,sd,0,1950-01-08,1963-01-05,sd_lag0,0.14374388504835975,1
1,sd,0,1950-01-08,1963-01-05,sd_lag1,0.03983780728603882,2
1,sd,0,1950-01-08,1963-01-05,sd_lag3,0.005435552228779764,3
1,sd,0,1950-01-08,1963-01-05,snowc_lag0,0.0045376142197626245,4
1,sd,0,1950-01-08,1963-01-05,doy_cos,0.0016990249175382426,5
1,sd,0,1950-01-08,1963-01-05,t2m_C_lag7,0.00048370386512542235,6
1,sd,0,1950-01-08,1963-01-05,sshf_W,0.0004530486000010907,7
1,sd,0,1950-01-08,1963-01-05,sd_lag7,0.00040458277777781433,8
1,sd,0,1950-01-08,1963-01-05,snowc_lag1,0.0002564501184322123,9
1,sd,0,1950-01-08,1963-01-05,doy_sin,0.00013570051277668108,10
1,sd,0,1950-01-08,1963-01-05,snowc_lag7,2.1615678492746113e-05,11
1,sd,0,1950-01-08,1963-01-05,snowc_lag3,1.2312410733654914e-05,12
1,sd,1,1963-01-06,1976-01-04,sd_lag0,0.1582117260061816,1
