horizon_days,target,n_features,mean_abs_correlation,max_abs_correlation,most_correlated_pair,pairs_above_0.8
1,snowc,4,0.8218007287292702,0.9993760815589952,sd_lag0 / sd_lag1,2
1,sd,12,0.7135884739953658,0.9993760815589952,sd_lag0 / sd_lag1,22
1,smlt_mm,12,0.5544490449028446,0.9993760815589952,sd_lag0 / sd_lag1,16
7,snowc,6,0.6302129486103617,0.9993760780109248,sd_lag0 / sd_lag1,2
7,sd,10,0.6981741816605804,0.9993760780109248,sd_lag0 / sd_lag1,12
7,smlt_mm,6,0.43646481255560743,0.9901541397367786,t2m_C / t2m_C_lag1,3
15,snowc,8,0.6881520970175936,0.9901538563550852,t2m_C / t2m_C_lag1,14
15,sd,12,0.6888562310981134,0.9993760723254071,sd_lag0 / sd_lag1,24
15,smlt_mm,10,0.6539071053815589,0.9993760723254071,sd_lag0 / sd_lag1,15
30,snowc,12,0.644518448838694,0.9999035500104599,e_mm / slhf_W,21
30,sd,12,0.6622901053234301,0.9993761818747097,sd_lag0 / sd_lag1,24
30,smlt_mm,6,0.6580171930775186,0.9993761818747097,sd_lag1 / sd_lag0,6
