model,scenario,warming_C
bcc_csm2_mr,SSP2-4.5,1.6109783048590884
bcc_csm2_mr,SSP5-8.5,3.8475356243123455
canesm5_canoe,SSP2-4.5,2.8558873412968913
canesm5_canoe,SSP5-8.5,6.97956776418888
ec_earth3_cc,SSP2-4.5,1.604824916016332
ec_earth3_cc,SSP5-8.5,4.853791046905372
ipsl_cm6a_lr,SSP2-4.5,2.397409805006367
ipsl_cm6a_lr,SSP5-8.5,5.839072240388604
miroc6,SSP2-4.5,1.9093875415033343
miroc6,SSP5-8.5,4.51435932269458
miroc_es2l,SSP2-4.5,1.9391998164043045
miroc_es2l,SSP5-8.5,3.7917394133933424
mpi_esm1_2_lr,SSP2-4.5,1.6541568974044827
mpi_esm1_2_lr,SSP5-8.5,3.645671732564919
mri_esm2_0,SSP2-4.5,1.5253996984804692
mri_esm2_0,SSP5-8.5,3.701757027865594
noresm2_mm,SSP2-4.5,1.5459625905131125
noresm2_mm,SSP5-8.5,3.9856609555153817
taiesm1,SSP2-4.5,3.0098185978760243
taiesm1,SSP5-8.5,5.451779693994047
