year,snowc,sd,smlt_mm,t2m_C_bc,snw_mm_raw,model,scenario
2015,50.32365,0.15112439,693.86395,4.739901851860477,3.7568607,bcc_csm2_mr,SSP2-4.5
2016,48.040665,0.14922796,743.17285,4.6134741680298195,26.93519,bcc_csm2_mr,SSP2-4.5
2017,46.383076,0.140039,583.2379,3.328909534692608,34.282608,bcc_csm2_mr,SSP2-4.5
2018,47.875412,0.1515999,761.02747,5.103705993963275,1.4763312,bcc_csm2_mr,SSP2-4.5
2019,43.21262,0.1608144,751.48285,4.748824207567929,3.1907024,bcc_csm2_mr,SSP2-4.5
2020,49.3927,0.16718458,825.005,5.591190681999685,0.7330261,bcc_csm2_mr,SSP2-4.5
2021,44.326717,0.1411305,601.49,4.967170986917577,0.6165204,bcc_csm2_mr,SSP2-4.5
2022,47.125645,0.13565733,692.4983,4.568488924393489,0.18875432,bcc_csm2_mr,SSP2-4.5
2023,47.940033,0.13316892,824.071,4.6300120347782325,1.9604725,bcc_csm2_mr,SSP2-4.5
2024,46.412766,0.13928363,619.0779,5.162668486712119,1.6541872,bcc_csm2_mr,SSP2-4.5
2025,44.11456,0.14607438,564.04315,5.419340435034397,5.8968396,bcc_csm2_mr,SSP2-4.5
2026,43.64053,0.17284481,938.20795,5.463432000299933,3.9718072,bcc_csm2_mr,SSP2-4.5
2027,50.874084,0.14469843,735.9722,4.783026944137721,1.1151127,bcc_csm2_mr,SSP2-4.5
2028,46.51791,0.14092544,831.9094,5.556346222914317,0.6796593,bcc_csm2_mr,SSP2-4.5
2029,40.616924,0.15050755,430.00198,4.782563883019402,3.7949915,bcc_csm2_mr,SSP2-4.5
2030,49.63013,0.15396966,678.699,4.223070630052053,1.8377188,bcc_csm2_mr,SSP2-4.5
2031,45.559757,0.17202927,598.93604,4.558957827840751,8.544532,bcc_csm2_mr,SSP2-4.5
2032,48.919773,0.13305038,893.9166,5.693020023874134,1.7498716,bcc_csm2_mr,SSP2-4.5
2033,43.53659,0.1459989,488.24725,5.7429535982182545,4.986409,bcc_csm2_mr,SSP2-4.5
2034,37.77834,0.13262984,490.5131,5.495491133416624,4.8159657,bcc_csm2_mr,SSP2-4.5
2035,52.267193,0.14237565,700.8259,4.921372958395383,1.8848033,bcc_csm2_mr,SSP2-4.5
2036,45.71277,0.17742248,830.51605,5.899631852571241,0.9318904,bcc_csm2_mr,SSP2-4.5
2037,44.620544,0.13552807,636.7944,4.882279707702517,0.7148719,bcc_csm2_mr,SSP2-4.5
2038,47.579407,0.13847773,829.2817,5.0112107722544605,3.5900586,bcc_csm2_mr,SSP2-4.5
2039,42.347218,0.16254556,1020.8507,6.127154335446908,0.98387545,bcc_csm2_mr,SSP2-4.5
2040,41.38605,0.14312251,631.89886,5.718073318820614,1.327243,bcc_csm2_mr,SSP2-4.5
2041,42.934223,0.13823785,672.406,5.197476303288716,4.3696914,bcc_csm2_mr,SSP2-4.5
2042,45.67702,0.12775756,458.87692,5.369530246240647,1.3277063,bcc_csm2_mr,SSP2-4.5
2043,53.24165,0.14045453,842.11176,5.0021488791333075,1.3235606,bcc_csm2_mr,SSP2-4.5
2044,44.78548,0.13135242,678.8883,5.834063048807554,0.7697268,bcc_csm2_mr,SSP2-4.5
2045,46.58641,0.13196883,613.9593,5.354783531410774,0.6089968,bcc_csm2_mr,SSP2-4.5
2046,43.503983,0.12219941,833.071,6.0207529947936775,3.1565206,bcc_csm2_mr,SSP2-4.5
2047,43.468582,0.13020714,674.4084,5.139975717559307,3.134674,bcc_csm2_mr,SSP2-4.5
2048,50.18622,0.1502433,624.92224,4.546741574892835,4.3423004,bcc_csm2_mr,SSP2-4.5
2049,41.89806,0.14085138,851.56604,6.201474984002569,1.2673951,bcc_csm2_mr,SSP2-4.5
2050,48.59122,0.13549165,814.5442,5.082610792404193,0.68487126,bcc_csm2_mr,SSP2-4.5
2051,45.56758,0.13555335,692.3641,5.703221940457634,2.4001846,bcc_csm2_mr,SSP2-4.5
2052,42.33526,0.15620928,646.55237,5.510531332350802,1.7493129,bcc_csm2_mr,SSP2-4.5
2053,47.6407,0.1376038,628.3625,6.141950970346656,0.2322411,bcc_csm2_mr,SSP2-4.5
2054,47.729,0.15206058,925.1261,4.969788972206153,0.79408544,bcc_csm2_mr,SSP2-4.5
2055,46.73393,0.16588761,608.4951,4.780786604629543,10.335214,bcc_csm2_mr,SSP2-4.5
2056,50.313385,0.1848619,885.20386,4.1896325383720265,28.388006,bcc_csm2_mr,SSP2-4.5
2057,41.6197,0.13415861,503.8769,5.5853506189365945,3.5044434,bcc_csm2_mr,SSP2-4.5
2058,45.551956,0.12816504,686.3251,5.7808655272194835,1.3776436,bcc_csm2_mr,SSP2-4.5
2059,44.889263,0.13961935,466.49634,5.573449296747696,10.787795,bcc_csm2_mr,SSP2-4.5
2060,43.06009,0.1254293,600.613,5.234520564507911,5.1524053,bcc_csm2_mr,SSP2-4.5
2061,50.25171,0.12729514,677.1231,5.729028091735912,2.8608818,bcc_csm2_mr,SSP2-4.5
2062,38.794006,0.12118003,356.7495,6.080529712808706,0.9209942,bcc_csm2_mr,SSP2-4.5
2063,43.902557,0.13863282,1102.8455,6.702389316345429,0.058444094,bcc_csm2_mr,SSP2-4.5
2064,47.09219,0.14676331,457.3854,5.691649560520414,0.8193156,bcc_csm2_mr,SSP2-4.5
2065,42.832104,0.11102571,641.521,6.009472325039613,0.28549471,bcc_csm2_mr,SSP2-4.5
2066,43.844418,0.12890472,644.3412,5.773828926378484,0.3387147,bcc_csm2_mr,SSP2-4.5
2067,40.859142,0.14506324,735.4019,6.220512448566665,0.18935998,bcc_csm2_mr,SSP2-4.5
2068,48.00416,0.14836426,828.8323,6.226938075318351,0.766501,bcc_csm2_mr,SSP2-4.5
2069,41.046585,0.13333938,730.4713,6.1718452456731,0.84943384,bcc_csm2_mr,SSP2-4.5
2070,44.436127,0.13087466,869.92444,6.546479858005603,0.3601823,bcc_csm2_mr,SSP2-4.5
2071,47.09912,0.17770241,885.0041,6.062441153687776,1.9090675,bcc_csm2_mr,SSP2-4.5
2072,45.465183,0.15110451,507.91858,6.17966758639398,2.4147642,bcc_csm2_mr,SSP2-4.5
2073,48.224075,0.17008793,804.415,6.156151049033501,2.4865642,bcc_csm2_mr,SSP2-4.5
2074,48.927197,0.15203266,602.4217,5.604368138690073,1.7716421,bcc_csm2_mr,SSP2-4.5
2075,42.38846,0.12462488,647.19305,6.196291286326216,1.3296467,bcc_csm2_mr,SSP2-4.5
2076,45.304424,0.13100831,806.9097,6.096783948588037,0.48259747,bcc_csm2_mr,SSP2-4.5
2077,41.541252,0.14036296,528.86487,6.2325133316169214,2.133508,bcc_csm2_mr,SSP2-4.5
2078,42.93752,0.12123463,739.8889,5.543040401250294,11.102599,bcc_csm2_mr,SSP2-4.5
2079,39.922474,0.14260009,538.2883,6.243349108468485,0.36063197,bcc_csm2_mr,SSP2-4.5
2080,43.873394,0.14310677,861.43726,5.898287604785384,0.4804844,bcc_csm2_mr,SSP2-4.5
2081,46.341034,0.1490383,643.97845,5.497282322008374,0.792142,bcc_csm2_mr,SSP2-4.5
2082,44.380398,0.1448208,634.8169,7.014080468284914,0.6007175,bcc_csm2_mr,SSP2-4.5
2083,40.635464,0.12779665,870.2321,6.844358335407819,0.22820972,bcc_csm2_mr,SSP2-4.5
2084,47.94101,0.14517061,930.5011,5.779737749421945,0.9563201,bcc_csm2_mr,SSP2-4.5
2085,40.824314,0.15984273,628.239,6.613298510369559,2.0386407,bcc_csm2_mr,SSP2-4.5
2086,45.988117,0.16261083,721.8047,6.265795083431268,1.7800622,bcc_csm2_mr,SSP2-4.5
2087,39.879463,0.14379472,514.84106,6.755195428415714,1.8542203,bcc_csm2_mr,SSP2-4.5
2088,40.77425,0.12794596,723.99286,6.717032398899135,0.44829,bcc_csm2_mr,SSP2-4.5
2089,41.129555,0.14835824,606.93256,7.333605944962581,0.45484278,bcc_csm2_mr,SSP2-4.5
2090,38.718864,0.106209554,520.8425,7.465916272496263,0.41447294,bcc_csm2_mr,SSP2-4.5
2091,44.381405,0.13086268,766.9647,5.917579961939851,0.52825296,bcc_csm2_mr,SSP2-4.5
2092,46.821285,0.14593853,825.0733,6.092915484187529,1.7902836,bcc_csm2_mr,SSP2-4.5
2093,41.752697,0.12705846,565.5517,6.625342431543225,0.7534776,bcc_csm2_mr,SSP2-4.5
2094,41.04735,0.12352702,605.60767,6.636124988983648,2.092879,bcc_csm2_mr,SSP2-4.5
2095,40.552475,0.12606303,482.01047,6.548116200753753,0.85879976,bcc_csm2_mr,SSP2-4.5
2096,43.847034,0.11589108,834.06165,7.683194139949415,0.20479488,bcc_csm2_mr,SSP2-4.5
