model,scenario,warming_C,emulator_change_pct,degree_day_change_pct,model_own_change_pct,emulator_per_degree,degree_day_per_degree,model_own_per_degree
bcc_csm2_mr,SSP2-4.5,1.6109783048590884,-8.201385,-49.65335385085948,-83.21228,-5.090934197956148,-30.82186377128315,-51.65325940296635
bcc_csm2_mr,SSP5-8.5,3.8475356243123455,-19.167149,-83.18566795048912,-89.42089,-4.981668907487649,-21.620506233871858,-23.24108196505323
canesm5_canoe,SSP2-4.5,2.8558873412968904,-22.615969,-64.05711179499967,-76.82433,-7.919068927261489,-22.429845487501137,-26.900337446795497
canesm5_canoe,SSP5-8.5,6.979567764188879,-37.962067,-98.9005081711087,-95.5547,-5.439028308481841,-14.170004721288395,-13.690633286643621
ec_earth3_cc,SSP2-4.5,1.604824916016332,-6.108576,-23.36499402186988,-20.323807,-3.806381468756238,-14.559216889446711,-12.664189445129777
ec_earth3_cc,SSP5-8.5,4.853791046905373,-28.539783,-77.50234036116854,-66.230736,-5.879895364671556,-15.96738294092442,-13.645155948984508
ipsl_cm6a_lr,SSP2-4.5,2.397409805006367,-13.038963,-53.80683770846879,-77.912994,-5.438771164880785,-22.44373806935602,-32.49882194611226
ipsl_cm6a_lr,SSP5-8.5,5.839072240388604,-29.557043,-89.40632483721473,-94.41477,-5.061941667910317,-15.311734665448244,-16.16948175099267
miroc6,SSP2-4.5,1.9093875415033352,-7.531172,-47.351376366418684,-64.459984,-3.9442866547544715,-24.79924862667591,-33.75950791788017
miroc6,SSP5-8.5,4.51435932269458,-15.850079,-90.81583486089535,-95.29672,-3.5110361071796348,-20.117103750325352,-21.109689238300955
miroc_es2l,SSP2-4.5,1.9391998164043045,-9.166455,-55.49462369847929,-63.898777,-4.7269266381514266,-28.61727978160513,-32.95110512465847
miroc_es2l,SSP5-8.5,3.791739413393345,-7.463127,-70.4514264072638,-82.54244,-1.9682595037699295,-18.580239495998125,-21.769017678329206
mpi_esm1_2_lr,SSP2-4.5,1.6541568974044818,-10.696518,-49.0101809142526,-75.685455,-6.466447022721797,-29.62849593720759,-45.75470164953686
mpi_esm1_2_lr,SSP5-8.5,3.645671732564919,-19.212336,-73.39071751641882,-79.14766,-5.2699027767458855,-20.1309176744733,-21.710034558178208
mri_esm2_0,SSP2-4.5,1.5253996984804692,-7.000637,-41.55308572469949,-39.475327,-4.589378810954966,-27.240785327342536,-25.878677291866115
mri_esm2_0,SSP5-8.5,3.701757027865594,-23.321194,-77.9827166835029,-83.95707,-6.300033610935072,-21.066406059737304,-22.680329574570077
noresm2_mm,SSP2-4.5,1.5459625905131134,-15.750885,-40.67729283277169,-52.30272,-10.188399839958496,-26.311951584333407,-33.83181419600288
noresm2_mm,SSP5-8.5,3.9856609555153852,-24.033283,-77.55374328369072,-93.95515,-6.029936691023644,-19.458188779547672,-23.573291315593465
taiesm1,SSP2-4.5,3.009818597876027,-20.399035,-70.71215302797118,-89.6213,-6.777496329684882,-23.493825534160575,-29.77631270100345
taiesm1,SSP5-8.5,5.451779693994047,-33.67831,-90.22864333836435,-88.55298,-6.17748923922748,-16.550309880966893,-16.242948814160517
